timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-11-19T18:18:12,codecarbon,b0932492-fe2a-4838-9966-1edffaa3636b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,8.32398185400001,1.061410213442719e-05,1.2751231706886391e-06,42.5,19.564848503902784,19.8605375289917,9.826883876041684e-05,4.523003618399997e-05,4.590675567759978e-05,0.000189405630622,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.7.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,,,52.96143341064453,machine,N,1.0
2024-11-19T18:27:27,codecarbon,b04dccec-4cb4-4897-a469-24280c9f7a02,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,4.208791553999959,5.436892313765006e-06,1.2917941513634438e-06,42.5,20.66480955334522,19.8605375289917,4.968670412361157e-05,2.4138352644000743e-05,2.319473862068879e-05,9.701979538830112e-05,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.7.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,,,52.96143341064453,machine,N,1.0
2024-11-19T19:49:55,codecarbon,1bfdf4f0-f4c8-4210-95fe-75e7c836f6fb,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,19.418076443000018,3.509718844378652e-05,1.8074492881316591e-06,42.5,44.80990941062427,31.30389261245728,0.00022924023690694325,0.00022825796038400056,0.00016880113788253392,0.0006262993351734777,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.7.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,,,83.47704696655273,machine,N,1.0
