	precision	recall	f1-score	support
action	0.70	0.38	0.49	486
aggression	0.74	0.75	0.74	75
aparte	0.82	1.00	0.90	14
delivery	0.82	0.54	0.65	213
entrance	0.57	0.88	0.69	128
exit	0.82	0.79	0.81	242
interaction	0.28	0.81	0.42	102
movement	0.44	0.64	0.52	119
music	0.97	0.89	0.93	577
narration	0.66	0.68	0.67	120
object	0.64	0.83	0.72	208
setting	0.75	0.81	0.77	190
toward	0.96	0.85	0.90	449
accuracy	0.73	2923
macro avg	0.70	0.76	0.71	2923
weighted avg	0.78	0.73	0.74	2923
