timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-11-19T11:23:53,codecarbon,4fbeff34-c925-44d8-b403-dc9f340468ac,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,27.97884239200002,3.488593408649872e-05,1.2468683871093124e-06,42.5,18.67854166481856,19.86054039001465,0.0003303050083395,0.0001378948325379,0.0001543297204368,0.0006225295613144,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.7.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,,,52.96144104003906,machine,N,1.0
2024-11-19T13:14:15,codecarbon,54793fe9-8889-44c6-906e-a70a7b4f9be5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.1286868810000215,8.25376794657615e-06,1.346743292133955e-06,42.5,24.16953395131724,19.86054039001465,7.235213685000014e-05,4.113614402000002e-05,3.3797858186302575e-05,0.0001472861390563,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.7.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,,,52.96144104003906,machine,N,1.0
2024-11-27T16:02:02,codecarbon,1fe0d0e6-eceb-4b3c-816d-21d47143ae06,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,6.327675990999978,8.34032394179583e-06,1.3180706397828355e-06,42.5,22.325905722628008,19.86054039001465,7.470133401875e-05,3.923280916399985e-05,3.489656296468017e-05,0.0001488307061474,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.8.0,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,,,52.96144104003906,machine,N,1.0
2024-11-27T19:57:20,codecarbon,70a014cb-4739-4d52-9c9d-de9cb396df35,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.571730271000035,7.424637160448037e-06,1.332555023184106e-06,42.5,23.25958191020515,19.86054039001465,6.577698013680574e-05,3.598863990200013e-05,3.072491620288362e-05,0.00013249053624168948,France,FRA,,,,Linux-6.1.85+-x86_64-with-glibc2.35,3.10.12,2.8.0,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,,,52.96144104003906,machine,N,1.0
